0,59.0
0,54.3
0,56.7
0,62.2
0,71.2
0,55.2
0,61.2
0,71.2
0,80.1
0,59.7
0,55.9
0,56.0
0,57.4
0,55.5
0,58.6
0,61.0
0,64.1
0,63.3
0,52.8
0,55.8
1,52.2
1,56.7
1,61.2
1,61.1
1,59.0
1,57.6
1,58.1
1,59.0
1,55.6
1,55.6
1,55.5
1,54.0
1,62.7
1,54.3
1,56.3
1,52.3
1,51.8
1,57.8
1,57.7
1,58.9
1,58.6
1,56.2
1,57.3
1,61.8
1,66.9
1,72.9
1,53.3
1,77.8
1,81.0
2,71.2
2,62.9
2,56.6
2,58.9
2,59.6
2,61.1
2,60.7
2,57.2
2,59.3
2,58.3
2,55.6
2,54.4
2,54.2
2,58.4
2,49.8
2,58.2
2,58.9
2,58.0
2,57.8
2,58.2
2,57.6
2,56.3
2,55.7
2,55.6
2,57.2
2,55.6
2,55.6
2,58.3
2,56.2
2,54.2
2,56.2
2,57.1
2,58.1
2,56.8
2,56.7
2,55.9
2,55.0
2,54.8
2,56.8
2,55.2
2,55.8
2,56.3
2,57.1
2,59.2
2,66.7
2,73.1
2,54.2
2,57.1
2,56.0
2,55.3
2,55.5
2,56.5
2,58.6
2,58.2
3,57.1
3,55.6
3,55.2
3,55.1
3,57.1
3,54.1
3,58.2
3,56.5
3,55.9
3,56.7
3,56.4
3,57.3
3,54.9
3,56.1
3,64.3
3,55.6
3,54.2
3,56.2
3,65.6
3,56.7
3,58.4
3,58.2
3,57.1
3,54.9
3,54.6
3,56.2
3,58.6
3,55.4
3,56.4
3,56.6
3,55.3
3,57.4
3,55.6
3,53.4
3,53.3
